Names,Address,Latitude,Longitude,Easting,Northing,Category
HSBC,LS1 1LD,53.796305,-1.564126,428809,433421,Bank
HSBC,LS2 9HE,53.796305,-1.564126,428809,433421,Bank
HSBC,LS12 2AA,53.797359,-1.587692,427256,433529,Bank
HSBC,LS7 4NU,53.828967,-1.537746,430523,437066,Bank
HSBC,LS17 6DN,53.846002,-1.533728,430775,438963,Bank
HSBC,LS15 8EU,53.806015,-1.450959,436255,434553,Bank
HSBC,LS26 0AN,53.748404,-1.477883,434529,428130,Bank
HSBC,LS27 8DY,53.746029,-1.601432,426383,427813,Bank
HSBC,LS18 4AR,53.839057,-1.638739,423870,438150,Bank
HSBC,LS28 7DN,53.796416,-1.662803,422309,433398,Bank
Lloyds,LS12 3AE,53.792236,-1.618228,425248,432948,Bank
Lloyds,LS10 2AP,53.779161,-1.527499,431234,431529,Bank
Lloyds,LS15 8ET,53.806284,-1.450803,436265,434583,Bank
Lloyds,LS9 6AP,53.808428,-1.50801,432496,434794,Bank
Lloyds,LS18 4RJ,53.837249,-1.641277,423704,437948,Bank
Lloyds,LS17 6PY,53.856498,-1.562687,428863,440118,Bank
Lloyds,LS27 9BZ,53.746536,-1.602321,426324,427869,Bank
Lloyds,LS1 1NX,53.799127,-1.540017,430395,433745,Bank
Lloyds,LS8 4BD,53.816042,-1.491521,433576,435648,Bank
Lloyds,LS1 6PN,53.79902,-1.540087,430390,433733,Bank
Lloyds,LS22 6LN,53.928577,-1.38647,440384,448224,Bank
RBS,LS1 5QB,53.798885,-1.547322,429914,433715,Bank
Barclays,LS1 5AA,53.79797,-1.54545,430038,433614,Bank
Barclays,LS1 2NG,53.798476,-1.550879,429680,433668,Bank
Barclays,LS2 9HG,53.80761,-1.551496,429633,434684,Bank
Barclays,LS11 5EG,53.778112,-1.544511,430114,431405,Bank
Barclays,LS17 6PY,53.843529,-1.533284,430806,438688,Bank
Barclays,LS15 8DU,53.805749,-1.451873,436195,434523,Bank
Barclays,LS27 8DX,53.746156,-1.601567,426374,427827,Bank
Barclays,LS18 4AX,53.838617,-1.639122,423845,438101,Bank
Barclays,LS28 6AR,53.803756,-1.671399,421739,434212,Bank
Natwest,LS1 5HD,53.798334,-1.546675,429957,433654,Bank
Natwest,LS6 3WA,53.821305,-1.578084,427873,436197,Bank
Natwest,LS7 4TW,53.826223,-1.534525,430737,436762,Bank
Natwest,LS15 8DJ,53.807359,-1.451989,436186,434702,Bank
Santander,LS1 6AS,53.797528,-1.542509,430232,433566,Bank
Santander,LS2 9JT,53.808478,-1.552792,429547,434780,Bank
Nationwide,LS1 6HX,53.800093,-1.548815,429815,433849,Bank
