gis_id,per_sp_rec_pc,esa_mh,jsa,esa_inc,lpb,other_oowb,tot_oowb,n18_24_jsa,n_jsa,per18_24_jsa,san18_24,sanall,per18_24_san,lsoa_name,pop,per_males,per_fem,per_0_19,per_20_64,per_65_plus,ods,asb,burglary,criminaldamage,drugs,other_theft,public_order,robbery,shoplifting,vehicle_crime,total_crime
E01011264,10.81,20,15,35,5,0,55,100,345,28.99,0,0,0,"Hawthorns, Coppice Wood Cres",1279,46.99,53.01,19.32,57.63,23.06,13.34,16,11,4,3,1,0,0,0,2,37
E01011265,14.1,15,25,30,10,5,70,85,385,22.08,0,0,0,Guiseley Railway Station,1625,47.08,52.92,19.77,58.47,21.79,10.21,118,36,21,8,31,0,0,54,23,304
E01011266,3.03,5,15,25,0,0,40,85,275,30.91,0,5,0,"Highroyds, Tranmere Estate",2027,50.17,49.83,22.1,66.21,11.7,3.19,19,18,9,1,10,0,1,0,27,90
E01011267,18.42,15,10,55,20,0,85,170,460,36.96,7,12,58.33,"West Queensway, Greenbottom",1496,48.93,51.07,23.94,55.76,20.32,23.4,44,7,20,2,4,2,1,0,10,93
E01011268,26.53,45,20,90,15,10,135,265,785,33.76,0,5,0,"Coppice Woods, Shaws",1394,49.93,50.07,27.06,58.04,14.92,32.53,82,6,10,2,7,4,1,17,5,136
E01011269,22.37,15,10,45,5,0,60,150,450,33.33,9,9,100,"Banksfield Ave, Banksfield",1552,48.39,51.61,20.62,56.51,22.87,20.59,42,10,7,5,7,3,1,3,8,86
E01011270,2.06,10,0,15,0,0,15,15,125,12,5,5,100,Hawksworth Village,1616,49.13,50.87,22.91,53.47,23.63,5.11,7,9,4,2,4,0,0,0,4,30
E01011271,6.98,5,15,30,0,0,45,85,220,38.64,5,5,100,"Fieldhead, Hawkstones",2158,49.07,50.93,24.51,59.73,15.75,5.15,22,22,3,1,8,2,0,0,10,71
E01011272,5.08,10,5,15,0,0,20,50,175,28.57,0,0,0,"Westfields, Silverdales",1521,50.43,49.57,26.16,60.49,13.34,4.29,15,10,6,0,2,0,1,0,4,40
E01011273,20,20,5,40,10,0,55,70,295,23.73,0,0,0,"Kirk Lane, Nunroyd Park",1487,47.41,52.59,19.71,62.95,17.35,13.67,81,17,10,12,12,3,0,28,11,180
E01011274,34.29,40,35,85,10,0,130,235,940,25,18,18,100,"Henshaws, Parkland View",1488,47.78,52.22,23.8,53.97,22.24,30.62,97,11,28,10,28,2,4,17,20,223
E01011275,14.75,35,0,50,10,5,65,90,385,23.38,7,7,100,"Barfields, Whack House Lane",1350,47.78,52.22,23.2,57.63,19.18,13.81,22,9,6,2,32,1,0,0,9,82
E01011276,10.53,10,5,30,0,0,35,35,335,10.45,0,0,0,"Ruffords, Benton Park",1384,50.8,49.21,23.12,62.07,14.82,9.45,27,15,12,1,5,0,0,0,5,69
E01011277,15,15,15,30,5,0,50,155,395,39.24,8,8,100,"Woodleas, Greenlea Road",1511,46.86,53.14,27.06,64.79,8.14,9.54,16,11,3,0,9,0,0,0,10,51
E01011278,10.61,15,5,40,0,0,45,80,340,23.53,0,0,0,"New Road Side, Greenacres",1631,47.64,52.36,22.08,61.74,16.19,7.56,43,23,15,2,59,0,0,2,17,166
E01011279,12.7,10,10,30,0,0,40,30,250,12,6,6,100,"Moor Lane, Moorlands",1312,45.81,54.19,21.27,56.72,22.02,9.43,14,16,2,0,7,0,0,0,6,50
E01011280,5.8,10,10,20,0,0,30,90,220,40.91,5,10,50,"Ings Lane, Netherfield Dr",1757,48.78,51.22,23.91,60.5,15.6,6.89,49,11,7,6,19,1,0,8,12,117
E01011281,31.37,55,65,105,40,10,220,440,"2,045",21.52,18,49,36.73,"Raynville Cres, Houghleys",1878,48.46,51.54,22.63,65.45,11.93,39.43,108,50,68,8,27,6,2,10,41,331
E01011282,35,45,30,90,35,5,160,490,"1,365",35.9,15,35,42.86,"Astons, Snowdens",1378,46.73,53.27,26.42,61.54,12.05,34.92,70,16,51,4,15,2,1,0,18,182
E01011283,30.56,65,75,120,30,5,230,720,"2,345",30.7,36,80,45,Wyther Parks,1331,47.86,52.14,32.31,55.67,12.03,55.89,91,12,34,7,13,3,2,4,13,190
E01011284,42.86,70,105,120,30,0,255,690,"2,530",27.27,16,63,25.4,"Aviaries, Arleys, Salisburys",1751,51.8,48.2,20.45,73.45,6.11,43.11,167,27,46,22,31,8,6,9,30,351
E01011285,10.87,10,5,35,5,5,50,140,420,33.33,5,14,35.71,"Green Hill Dr, Billingbank",1311,49.05,50.95,21.97,64.54,13.51,19.82,,,,,,,,,,
E01011286,14.29,20,15,40,15,0,70,115,670,17.16,8,14,57.14,"Hill Top, Town End",1244,49.28,50.72,21.55,65.2,13.26,25.16,34,18,26,5,31,3,1,7,15,147
E01011287,14.55,15,20,55,10,0,85,170,600,28.33,7,13,53.85,Spring Valleys,1320,47.96,52.05,21.81,63.26,14.93,25.16,26,27,11,1,139,4,2,18,20,251
E01011288,24.24,55,60,100,10,0,170,465,"2,045",22.74,13,42,30.95,"Poplar Way, Hill End",1458,51.44,48.56,25.94,63.93,10.15,32.92,,,,,,,,,,
E01011289,13.33,20,35,65,5,0,105,215,815,26.38,9,20,45,Armley Granges / Hallidays,1482,47.84,52.16,21.18,61.27,17.62,23.64,,,,,,,,,,
E01011290,36.67,50,85,90,35,10,220,655,"2,645",24.76,23,88,26.14,"Armley Ridge Road, Edinburghs",1439,55.32,44.68,19.04,70.53,10.36,39.29,,,,,,,,,,
