name,Building,HouseNo,Street,District,Town,County,Postcode,primary_service,lat,long,Comments
Addiction Dependency Solutions,Marquis House,33,Eastgate,,Leeds,West Yorkshire,LS2 7RD,Substance Misuse,53.799058,-1.536131,
ADHD Support Group - West Yorkshire,,40,Meadowfields Drive,Crofton,Wakefield,West Yorkshire,WF4 1JE,Mental Health Services,53.655067,-1.422279,
Advocacy for Mental Health and Dementia,Micklethwaite House,70,Cross Green Lane,Cross Green,Leeds,West Yorkshire,LS9 0DG,Advocacy,53.7881,-1.520128,
Advocacy Support,,267,Roundhay Road,,Leeds,West Yorkshire,LS8 4HS,Advocacy,53.817155,-1.516626,
Age UK Leeds,Bradbury Building,,Mark Lane,,Leeds,West Yorkshire,LS2 8JA,Older People's Services (General),53.79971,-1.542456,
Akoben,,11,Ashley Road,Harehills,Leeds,West Yorkshire,LS9 7AB,Counselling and Therapy Services,53.809357,-1.51472,
Alpha House Calderdale,,,St Augustine's Centre,,Halifax,West Yorkshire,HX1 5PG,Counselling and Therapy Services,53.725207,-1.877235,
Alzheimer's Society,Armley Grange,,Armley Grange Drive,Armley,Leeds,West Yorkshire,LS12 3QH,Dementia,53.801636,-1.608861,
Anchor - Larchfield Care Home,,17,Joseph Street,Hunset,Leeds,,LS10 2AD,Older People's Services (General),53.781654,-1.5305,
Anxiety Leeds,,1,Temple Lane,Whitkirk,Leeds,,LS15 0PH,Mental Health Services,53.795442,-1.456537,
Armley Counselling Service,Strawberry Lane Centre,,Strawberry Lane,Armley,Leeds,West Yorkshire,LS12 1SF,Counselling and Therapy Services,53.793813,-1.586451,
Artists in Mind (AIM),Bates Mill,,Milford St,,Huddersfield,West Yorkshire,HD1 3DX,Arts & Media,53.64074,-1.782219,
Artlink West Yorkshire,,191,Belle Vue Rd,,Leeds,West Yorkshire,LS3 1HG,Arts & Media,53.806323,-1.56429,
Asian Family Counselling Service,,42,Roxholme Place,,Leeds,West Yorkshire,LS7 4JQ,Family Services,53.824072,-1.523725,
Association for Post-natal Illness,,145,Dawes Road,Fulham,London,,SW6 7EB,Mental Health Services,51.480664,-0.20618,Helpline
Balance-Work-Life Independent Ltd,,41,Reinwood Road,Oakes,Huddersfield,West Yorkshire,HD3 4DH,Counselling and Therapy Services,53.651284,-1.817441,
Barca-Leeds,The Manor House,259,Upper Town Street,Bramley,Leeds,West Yorkshire,LS13 3JT,Community Development,53.812755,-1.62918,
Barca-Leeds - Counselling & Psychotherapy Services,,275,Upper Town Street,Bramley,Leeds,West Yorkshire,LS13 3JT,Counselling and Therapy Services,53.814186,-1.633241,
Barnardo's - Willow Young Carers Service,c/o Leeds Media Centre,21,Savile Mount,Chapeltown,Leeds,West Yorkshire,LS7 3HZ,Carers Services,53.812597,-1.535616,
Batley Self Help Depression Group,,90,Commercial St,,Batley,West Yorkshire,WF17 5DS,Mental Health Services,53.713351,-1.63091,
"Bereavement, Loss, and Trauma Group",Hawthorn House,,Wilfred Terrace,,Leeds,West Yorkshire,LS12 4JX,Counselling and Therapy Services,53.781293,-1.603829,
Bethany House Healing Centre,,73A,Chickenley Lane,Gawthorpe,Dewsbury,West Yorkshire,WF12 8QD,Counselling and Therapy Services,53.69051,-1.59605,
BHA Leeds Skyline,"4th Floor, Gallery House",131,The Headrow,,Leeds,West Yorkshire,LS1 5RD,Health,53.799291,-1.547682,
Black Health Initiative (BHI),Chapeltown Enterprise Centre,231-235,Chapeltown Road,,Leeds,West Yorkshire,LS7 3DX,BME Communities Services,53.816155,-1.532039,
Bradford & Airedale Mental Health Advocacy Group,,,Cornwall Place,,Bradford,West Yorkshire,BD9 7JT,Mental Health Services,53.802811,-1.760343,
Bradford Counselling Services,,24,Barry St,,Bradford,West Yorkshire,BD1 2AW,Counselling and Therapy Services,53.794671,-1.757558,
Bradford Immigration and Asylum Seekers Support and Advice Network - BIASAN,,5,Denby Mount,Oakworth,Keighley,West Yorkshire,BD22 7QA,Campaigning,53.843403,-1.959942,
Bradford People First,Office F13,,Mayfield Centre,,Bradford,West Yorkshire,BD5 9NP,Mental Health Services,53.77351,-1.762218,
Bradford Rape Crisis Group,c/o BCVS,19-25,Sunbridge Road,,Bradford,,BD1 2AY,Counselling and Therapy Services,53.793614,-1.75483,
Bradford Resource Centre,,17-21,Chapel St,,Bradford,West Yorkshire,BD1 5DT,Infrastructure,53.79394,-1.745611,
Bradford Under Fives Association,The Mayfield Centre,,Broadway Avenue,,Bradford,West Yorkshire,BD5 9NP,Children/Young People - Out Of School/Play,53.77351,-1.762218,
Brain Camp Ltd,,31,Fearnville Drive,,Leeds,,LS8 3DH,Mental Health Services,53.819328,-1.487642,
Calderdale Wellbeing,Voluntary Action Calderdale,,Hall Street,,Halifax,West Yorkshire,HX1 5AY,Health,53.723005,-1.866146,
Calderdale WomenCentre,,23,Silver Street,,Halifax,West Yorkshire,HX1 1JN,Health,53.722719,-1.862962,
